ID,Submit Year,Start Year,Title,Description,Institution,Investigators,Discipline
229034,2002,2003,"The epidemiology of asthma in young children: risk factors, protective factors and the role of family functioning","The epidemiology of asthma in young children: risk factors, protective factors and the role of family functioning",University of Western Australia,Dr Mary-Anne L Measey,PUBLIC HEALTH AND HEALTH SERVICES
266807,2003,2004,Uncoupled Research Fellowship,Uncoupled Research Fellowship,University of Melbourne,Prof Mauro S Sandrin,IMMUNOLOGY
268053,2002,2004,Reducing deaths from pesticide poisoning - Establishing a regional toxicology research centre.,Reducing deaths from pesticide poisoning - Establishing a regional toxicology research centre.,Australian National University,A/Pr Nicholas A Buckley,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES
268084,2003,2004,Australian Phenome Bank,Australian Phenome Bank,Australian National University,Prof Christopher C Goodnow,GENETICS
272512,2003,2005,Cell Bank Australia,Cell Bank Australia,Children's Medical Research Institute,Prof Roger R Reddel,BIOCHEMISTRY AND CELL BIOLOGY
275576,2003,2004,The analysis of autoantibodies and development of therapeutic strategies for autoimmune rheumatic diseases,The analysis of autoantibodies and development of therapeutic strategies for autoimmune rheumatic diseases,Flinders University,Dr Fiona M Goldblatt,IMMUNOLOGY
277900,2003,2004,Uncoupled Research Fellowship,Uncoupled Research Fellowship,University of Melbourne,Dr Siew Yeen  Chai,NEUROSCIENCES
277906,2003,2004,Uncoupled Research Fellowship,Uncoupled Research Fellowship,University of Melbourne,A/Pr Andrew L Gundlach,NEUROSCIENCES
283303,2003,2004,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Menzies School of Health Research,Prof Ross S Bailie,PUBLIC HEALTH AND HEALTH SERVICES
284234,2003,2004,Uncoupled Research Fellowship,Uncoupled Research Fellowship,Monash University,Dr Robert K Andrews,MEDICAL BIOCHEMISTRY AND CLINICAL CHEMISTRY
284375,2003,2004,Molecular Analysis of Preudomonas aeruginosa Pathogenesis,Molecular Analysis of Preudomonas aeruginosa Pathogenesis,University of Technology Sydney,Dr Cynthia B Whitchurch,MEDICAL MICROBIOLOGY
299078,2003,2004,Role of the bone matrix and coordinate expressof CTR and Beta 3 in initiating terminal differentiation...,Role of the bone matrix and coordinate expressof CTR and Beta 3 in initiating terminal differentiation...,University of Adelaide,Dr Tania  Crotti,CLINICAL SCIENCES
300095,2003,2004,Investigation of the signal(s) involved in the selection of memory T cells from the effector CD8+T cell pool following..,Investigation of the signal(s) involved in the selection of memory T cells from the effector CD8+T cell pool following..,University of Melbourne,Dr Scott N Mueller,IMMUNOLOGY
300610,2003,2004,Effect of estrogen on signalling mechanisms of the pelvic autonomic nervous system underlying bladder ...,Effect of estrogen on signalling mechanisms of the pelvic autonomic nervous system underlying bladder ...,University of New South Wales,Dr Tertia D Purves-Tyson,NEUROSCIENCES
303112,2003,2004,Uncoupled Research Fellowship,Uncoupled Research Fellowship,University of Western Australia,A/Pr Wallace Y Langdon,BIOCHEMISTRY AND CELL BIOLOGY
307728,2003,2004,the role of asymmetric dimethylarginine and dimethylarginine dimethylaminohydrolase,the role of asymmetric dimethylarginine and dimethylarginine dimethylaminohydrolase,University of Sydney,Dr Martin K. C. Ng,CLINICAL SCIENCES
307758,2003,2006,A National Clinical Trials Register,A National Clinical Trials Register,University of Sydney,Prof John R Simes,CLINICAL SCIENCES
310608,2003,2004,Role of NKT cells in the regulation of tumour immunity,Role of NKT cells in the regulation of tumour immunity,Walter and Eliza Hall Institute,Dr Ann L Cornish,IMMUNOLOGY
310610,2003,2004,Factors involved in the development and homeostasis of CD4 memory T cells,Factors involved in the development and homeostasis of CD4 memory T cells,University of Melbourne,Dr Jared F Purton,IMMUNOLOGY
310616,2003,2004,Role of proneural bHLH transcription factors in the mammalian central nervous system during development and in adulthood,Role of proneural bHLH transcription factors in the mammalian central nervous system during development and in adulthood,University of Melbourne,Dr Julian I T Heng,GENETICS
310644,2003,2004,Disclosure and attitudes to lesbians: Outcomes in General Practice (DIALOG),Disclosure and attitudes to lesbians: Outcomes in General Practice (DIALOG),University of Melbourne,Dr Ruth  McNair,PUBLIC HEALTH AND HEALTH SERVICES
316001,2004,2006,National Centre for Intensive Care Research,National Centre for Intensive Care Research,Monash University,Prof Rinaldo  Bellomo,OTHER PHYSICAL SCIENCES
