Grant Id,CIA Full Name,Grant Admin Institution,State,Sector ,CEO Taxonomy,Main Funding Group,Funding Scheme,RMIS Grant Subtype,Scientific Title,Simplified Title,App Year,Start Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total (Cal Yr),Broad Research Area ,Main Category FOR,Field Of Research (FOR),Research KW 1,Research KW 2,Research KW 3,Research KW 4,Research KW 5,Health KW 1,Health KW 2,Health KW 3,Health KW 4,Health KW 5
229034,Dr Mary-Anne L Measey,University of Western Australia,WA,University,Building Capacity-People,People Support,NHMRC Scholarship,Public Health Postgraduate Scholarship,"The epidemiology of asthma in young children: risk factors, protective factors and the role of family functioning","The epidemiology of asthma in young children: risk factors, protective factors and the role of family functioning",2002,2003,"$21,309","$6,621","$4,545","$21,231","$19,294","$7,073","$21,817","$12,409",,,,,,,,"$114,299",Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Community Child Health,Asthma ,Causal pathways,Longitudinal,Psychosocial,,,,,,
266807,Prof Mauro S Sandrin,University of Melbourne,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2003,2004,,"$153,500","$156,500","$159,250","$162,250","$165,250","$168,250","$168,250",,,,,,,,"$1,133,250",Basic Science,IMMUNOLOGY,Transplantation Immunology,glycobiology,immunology,transgenic animals,transplantation,xenotransplantation,,,,,
268053,A/Pr Nicholas A Buckley,Australian National University,ACT,University,Support for Research,Research Support,NHMRC Strategic Awards,International Collaborative Research Grants Scheme,Reducing deaths from pesticide poisoning - Establishing a regional toxicology research centre.,Reducing deaths from pesticide poisoning - Establishing a regional toxicology research centre.,2002,2004,,"$147,746","$73,873","$147,746","$73,873","$50,000","$120,000","$120,000","$55,492",,,,,,,"$788,730",Clinical Medicine and Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Toxicology (incl. Clinical Toxicology),Clinical epidemiology,Neurophysiology,Pesticide Poisoning,Pesticide regulation,Randomised clinical trials,,,,,
268084,Prof Christopher C Goodnow,Australian National University,ACT,University,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,Australian Phenome Bank,Australian Phenome Bank,2003,2004,,"$75,000","$300,000","$300,000","$300,000","$300,000","$300,000","$350,000","$350,000",,,,,,,"$2,275,000",Basic Science,GENETICS,Genetics not elsewhere classified,Animal Model,Cancer,GeneKnockout,Infection,Metabolism,,,,,
272512,Prof Roger R Reddel,Children's Medical Research Institute,NSW,MRI,Building Capacity-Facilities,Infrastructure Support,NHMRC Infrastructure Grants,Enabling,Cell Bank Australia,Cell Bank Australia,2003,2005,,,"$250,000","$250,000","$250,000","$250,000","$250,000","$300,000",,,,,,,,"$1,550,000",Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,Cell culture,Cryopreservation,,,,,,,,
275576,Dr Fiona M Goldblatt,Flinders University,SA,University,Building Capacity-People,People Support,Training Fellowship (Overseas),Neil Hamilton Fairley Fellowship,The analysis of autoantibodies and development of therapeutic strategies for autoimmune rheumatic diseases,The analysis of autoantibodies and development of therapeutic strategies for autoimmune rheumatic diseases,2003,2004,,"$118,648","$123,020","$74,750","$76,000","$23,843",,"$41,976",,,,,,,,"$458,237",Clinical Medicine and Science,IMMUNOLOGY,Autoimmunity,Autoantibodies,SLE ,,,,,,,,
277900,Dr Siew Yeen  Chai,University of Melbourne,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2003,2004,,"$101,250","$103,500","$105,500","$107,500","$109,750","$112,000","$114,128",,,,,,,,"$753,628",Basic Science,NEUROSCIENCES,Central Nervous System,Central Nervous System,,,,,,,,,
277906,A/Pr Andrew L Gundlach,University of Melbourne,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2003,2004,,"$112,000","$114,500","$116,750","$119,000","$121,500","$123,750","$126,101",,,,,,,,"$833,601",Basic Science,NEUROSCIENCES,Central Nervous System,central nervous system,mental health,nervous system disorders,neurosciences,,,,,,
283303,Prof Ross S Bailie,Menzies School of Health Research,NT,MRI,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2003,2004,,"$101,250","$133,500","$120,500","$122,500","$124,750","$127,000","$129,128",,,,,,,,"$858,628",Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Indigenous Health,Indigenous communities,,,,,,,,,
284234,Dr Robert K Andrews,Monash University,VIC,University,Building Capacity-People,People Support,NHMRC Established Career Awards,NHMRC Research Fellowship,Uncoupled Research Fellowship,Uncoupled Research Fellowship,2003,2004,,"$112,000","$114,500","$116,750","$119,000","$121,500","$123,750","$126,101",,,,,,,,"$833,601",Basic Science,MEDICAL BIOCHEMISTRY AND CLINICAL CHEMISTRY,Medical Biochemistry: Proteins and Peptides,cell adhesion,receptors,signal transduction,thrombosis,,,,,,
