ID,Submit Year,Start Year,Title,Description,Institution,Investigators,Discipline
DI100100014,2009,2010,'To wake them up again': Digital futures for the international diaspora of early ethnographic collections from Arnhem Land,"Drawing on my experience as a Yolngu elder with research expertise in Curatorial Studies, this project will assess historical materials from Arnhem Land held by museums in Europe, the USA and Australia. Dating from 1924, these materials collected by Wilkins, Webb, Warner, Elkin and Berndt include the oldest ethnographic records of Yolngu culture in Arnhem Land. My explorations of these materials will refer to the continuing traditional frameworks that guide community life in Arnhem Land. I will also evaluate the impact of international relations and digital technologies in addressing needs for sustained remote Indigenous community access to such materials, and bring the voices of contemporary elders from Arnhem Land to bear on these issues.",The University of Sydney,Dr Joseph N Gumbula,NSW
DI100100088,2009,2010,Closing the educational gap for Aboriginal primary students in low density schools: A qualitative analysis of impact of culturally inclusive pedagogy,"Aboriginal students remain the most educationally disadvantaged Australians. Culturally inclusive pedagogy is widely assumed to improve Aboriginal students’ educational achievement & success but its actual impact remains untested. This research seeks to capitalise on cutting-edge interdisciplinary theory & research & an innovative & robust qualitative research design to elucidate the impact of specific facets of culturally inclusive pedagogy on Aboriginal students’ educational outcomes & well-being in low density schools where most Aboriginal students experience schooling. This will result in building the capacity of Aboriginal Education, strengthening schooling & pedagogy for Aboriginal students, and contribute to closing the gap.",University of Western Sydney,Ms Virginia G O'Rourke; Prof Rhonda G Craven; A/Prof Geoffrey E Munns; Dr Gawaian H Bodkin-Andrews,NSW
DI100100113,2009,2010,Wingara Mangami (to follow the dream of understanding): Seeding innovative intervention success to challenge and pracism for Inyouth,"Racism towards Indigenous youth is a pervasive problem with long-term adverse psychosocial consequences for Australia. Research has demonstrated that racism impacts upon the mental health, life potential and educational outcomes of Indigenous Australians. Grounded on cutting-edge interdisciplinary theory and research, and as a logical and necessary progression of my successful ARC funded development of research-derived intervention strategies I will: explicate psychosocial determinants/consequences of racism; implement an innovative new intervention and test its impact on pro-social behaviours, mental health, wellbeing and academic functioning of Indigenous secondary students using a powerful longitudinal design and multi-method analyses.",University of Western Sydney,Dr Gawaian H Bodkin-Andrews; Prof Rhonda G Craven,NSW
DI100100130,2009,2010,"Developing predictive tools for rapid assessment of multiple impacts, including climate change, on the marine ecosystem of Torres Strait (Australia)","Australia's unique marine biodiversity and significant economic wealth generated from marine systems are particularly vulnerable to the threat of climate change and other anthropogenic threats. Currently, the science needed to manage the synergistic effects of multiple threats lags far behind our current knowledge of the biophysical components of marine ecosystems. We will develop tools to link threats and ecosystem processes to predict the impact that exposure has on marine life. This will provide an understanding of the strategies that can be applied to protect biodiversity, increase resilience of marine ecosystems, and provide sustained cultural and economic benefit for Australian communities under climate and environmental change.",James Cook University,Ms Cass M Hunter; Dr James R Butler; Mr Timothy D Skewes; Mr David T Brewer; Dr Vincent Lyne; Prof Stephen M Turton,Qld
DI100100145,2009,2010,"Through travellers' eyes: Foreign observations of Aboriginal people and British colonisation, 1800-1850",This project critically examines encounters between travellers and Aboriginal people throughout Australia in the first half of the nineteenth century. It examines how these encounters affected the Western travellers' engagement with Victorian anthropological thought and provoked criticism of British imperialism. Aboriginal history will benefit from a more complex picture of nineteenth-century ideas about Aborigines. I will highlight diverse critiques of settler-colonialism which were not limited to Christian or humanitarian concerns. ,The Australian National University,Dr Shino A Konishi; Prof Ann Curthoys; Prof Stephen R Garton; Prof Ann M McGrath,ACT
DI100100158,2009,2010,"Climate change research:  Can Sydney rock oysters adapt to chronic multigenerational exposure to ocean acidification and temperature? 

",This project will identify the chronic multigenerational response of an iconic oyster species to ocean acidification (OA) & temperature. Already acute studies have found impacts of OA & temperature on the reproduction & development of oysters with selectively bred oyster populations being resilient. We have no information internationally on the impact of long term exposure to OA & temperature on marine organisms & ecosystems. We will use chronic multigenerational experiments to identify whether populations of the Sydney rock oyster have the potential to adapt to OA & temperature. Our goal is to determine how the Australian oyster industry will be affected by climate change & develop strategies for the sustainability of marine ecosystems.,University of Western Sydney,Ms Laura M Parker; A/Prof Pauline M Ross; A/Prof David A Raftos; Dr Wayne A O'Connor; Prof Dr Hans O Portner,NSW
DI100100200,2009,2010,Reversing the gaze: Indigenous perspectives on cultural representation  in national museums,"The aim of the project is to provide for Indigenous communities, museums and those invested in the collaboration between these groups, a comprehensive review of best-practice moments in new media, interactive displays and in the online exhibition of Indigenous cultural representation in major mainstream museums.  The project will focus on exhibitions identified by the Indigenous participants, and will be carried out from an Indigenous perspective. 



The project will demonstrate the capacity for mainstream museums to encourage and facilitate a curatorial process that enables Indigenous individuals and communities to have genuine input and control over their own presentation. 

",Batchelor Institute of Indigenous Tertiary Education,Dr Sandy T O'Sullivan; Prof Peter M Stephenson; A/Prof Lyn Fasoli,NT
DI100100292,2009,2010,"Political history of the New South Wales Aboriginal Land Rights Act, 1983","This study is the first political history of the NSW Aboriginal Land Rights Act (1983) (ALRA).  Further to earlier studies of land demands in NSW, this study highlights the period from 1972 through to 2004.  This period covers the heightened movement for land rights recognition, the Government's Inquiry, subsequent legislation establishing the three tier land council network and the activities of the land council including administrative, land recovery, enterprise development and community services and development.  The study makes a significant contribution to policy debates, and understanding more broadly the possibilities and limits of state based land rights regimes and Aboriginal self-determination. ","University of Technology, Sydney",Ms Heidi Norman; Prof Gillian K Cowlishaw; Prof Jock H Collins; Prof Heather Goodall,NSW
DI100100297,2009,2010,"Archaeology in the long grass: A study of Aboriginal fringe camp sites in the urban hinterland around Darwin, Australia","This collaborative project with the Larrakia Nation Aboriginal Corporation will analyse Aboriginal fringe campsites or ‘contact period’ sites in the urban hinterland around Darwin. The aim is to understand the adaptive strategies of Aboriginal people during a major period of transformation. Methods include archaeological surveys and excavations, analyzing historical documents and collecting oral histories. Project outputs include a doctoral thesis in contact archaeology, cultural maps of Aboriginal landuse across space and through time, new data to inform policy decisions and recommendations by the Larrakia Nation, interpretative materials for Larrakia tourism ventures, and the quality training of Larrakia research associates.",The Flinders University of South Australia,Ms Kellie L Pollard; A/Prof Claire E Smith; A/Prof Heather D Burke,SA
DP1092437,2009,2010,Friction-based modelling of the dynamics of nanoconfined fluid mixtures,"This project aims to make groundbreaking theoretical advances in our understanding of the transport of fluid mixtures through nanosized pores. This will involve the integration of two critical factors: interactions between molecules within the fluid, and between them and the nanopore walls. Underpinned by simulation and experiments on the transport rates of targeted gases and their mixtures through key nanomaterials, the theoretical work in the project will deliver a powerful approach for predicting dynamic behaviour. This will enable the optimal process design of a wide range of emerging nanotechnologies, such as membrane separations and kinetic molecular sieving, catalysis, fuel cells, nanofluidics and lab-on-a-chip technology.",The University of Queensland,Prof SK Bhatia; Prof D Nicholson; Prof Dr J Kaerger,Qld
